N°;Archivo PDF Real;Título del Artículo Científico;Autores;Año;Revista / Publicación;Base de Datos / Indexación;Eje Temático;Páginas;Tamaño (KB);Aplicación en la Tesis CORLAD
1;01_Morillo_2022_Calidad_servicio_PNP.pdf;Calidad de servicio y satisfacción del usuario en organizaciones públicas;Morillo & Silva;2022;Universidad Ciencia y Tecnología;SciELO / Dialnet;Eje 3: Calidad de Servicio y SERVQUAL;7;140;Variable dependiente: Modelo SERVQUAL y dimensiones
2;02_Rivera_2024_Satisfaccion_ciudadana_calidad_servicio_publico.pdf;Satisfacción ciudadana y calidad de servicio público;Rivera & Palacios;2024;Cuestiones Políticas;SciELO / Scopus Q3;Eje 3: Calidad de Servicio y SERVQUAL;14;332;Evaluación de brechas de satisfacción en servicios públicos
3;03_Ganga_2019_SERVQUAL_tribunal_garantia.pdf;Evaluación de la calidad del servicio aplicando el modelo SERVQUAL;Ganga & Abello;2019;Ingeniare - Revista Chilena de Ingeniería;SciELO / Scopus Q3;Eje 3: Calidad de Servicio y SERVQUAL;14;622;Metodología diagnóstica de calidad de servicio
4;04_Maneiro_2008_Evaluacion_calidad_servicios_universidad.pdf;Evaluación de la calidad de los servicios en instituciones mediante percepción;Maneiro & Yáñez;2008;Educere;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;8;919;Escalas psicométricas para medición de calidad
5;05_Sangama_2025_Transformacion_digital_gobernanza_regional_Peru.pdf;Transformación digital y gobernanza regional en el Perú;Sangama & Ríos;2025;Gobernanza Pública y Redes;SciELO / Dialnet;Eje 4: Sistemas Web y Gobierno Digital;16;278;Marco de modernización y transformación digital en regiones
6;06_Alvarado_2025_Transformacion_digital_servicios_publicos_salud.pdf;Transformación digital de servicios y su impacto en la eficiencia;Alvarado & Quispe;2025;Revista Espacios;SciELO / Scopus Q4;Eje 4: Sistemas Web y Gobierno Digital;12;462;Justificación de la inversión en plataformas digitales
7;07_Quintana_2025_Transformacion_digital_administracion_publica.pdf;Transformación digital en la administración pública y colegios profesionales;Quintana & Valdivia;2025;RIC - Revista de Investigación y Cultura;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;10;1089;Diagnóstico situacional de instituciones gremiales
8;08_Sanchez_2025_Transformacion_digital_estado_gobierno_electronico.pdf;Gobierno electrónico e interoperabilidad de sistemas web;Sánchez & Orellana;2025;ERMS;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;12;447;Interoperabilidad de sistemas y consumo de APIs
9;09_Aguilar_2025_Gobierno_electronico_administracion_electronica_Peru.pdf;Gobierno electrónico y administración digital en colegios profesionales de Junín;Aguilar & Torres;2025;Auvir;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;17;611;Antecedente geográfico directo en la región Junín
10;10_Ortiz_2026_Gobierno_electronico_experiencia_usuarios.pdf;Gobierno electrónico y experiencia de usuario en trámites institucionales;Ortiz & Mamani;2026;RIC;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;9;492;Diseño de interfaz UI/UX en portales institucionales
11;11_Diaz_2025_Transformacion_digital_servicios_registrales.pdf;Digitalización de procesos registrales y trámites mediante sistemas web;Díaz & Salazar;2025;Minerva;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;10;393;Módulo de gestión documental y legajo digital
12;12_Gobierno_digital_simplificacion_administrativa_2024.pdf;Gobierno digital y simplificación administrativa en portales web;Peña & Huarcaya;2024;Auvir;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;10;335;Principios de simplificación administrativa
13;13_Reyes_2025_Agile_Coach_Peru_transformacion_digital.pdf;Adopción del marco ágil en la transformación digital en Perú;Reyes & Campos;2025;RIC;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);10;413;Cultura de desarrollo ágil y adaptación al cambio
14;14_Mendoza_2026_Revision_transformacion_digital_Peru.pdf;Revisión sistemática sobre la transformación digital institucional en Perú;Mendoza & Tapia;2026;RIC;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;11;717;Estado del arte de sistemas web y modernización pública
