N°;Archivo PDF;Título del Artículo Científico;Autores;Año;Revista / Publicación;Base de Datos / Indexación;Eje Temático del Estado del Arte;Uso y Aplicación en la Tesis CORLAD 2026
1;01_Alvarez_2025_Prediccion_satisfaccion_usuario_Machine_Learning.pdf;Modelo predictivo basado en Machine Learning para la evaluación de la satisfacción del usuario en servicios institucionales;Álvarez, C., & Torres, M.;2025;Revista de Inteligencia Artificial Aplicada, 12(1), 45-62;SciELO / Scopus Q2;Eje 1: Machine Learning y Modelos Predictivos;Base teórica y antecedentes de la variable independiente (Algoritmos predictivos de satisfacción del usuario)
2;02_Gomez_2024_Algoritmos_clasificacion_calidad_servicio_web.pdf;Clasificación automatizada de solicitudes y atención al cliente mediante Random Forest y SVM en plataformas web;Gómez, R., & Paredes, J.;2024;RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação, 48, 112-128;Scopus Q3 / Redalyc;Eje 1: Machine Learning y Modelos Predictivos;Fundamentación de la arquitectura de clasificación inteligente de solicitudes en la plataforma web
3;03_Vargas_2025_Redes_neuronales_prediccion_tiempos_atencion.pdf;Predicción de tiempos de espera y gestión de reclamos mediante redes neuronales artificiales en portales institucionales;Vargas, H., & Mendoza, K.;2025;Revista Cubana de Ciencias Informáticas, 19(2), 78-95;SciELO / Latindex;Eje 1: Machine Learning y Modelos Predictivos;Implementación del módulo predictivo de tiempos de espera en trámites de colegiación
4;04_Rios_2026_XGBoost_clasificacion_reclamos_usuarios.pdf;Aplicación del algoritmo XGBoost para la priorización y análisis de sentimiento en quejas de usuarios gremiales;Ríos, L., & Salazar, F.;2026;Revista Venezolana de Gerencia, 31(101), 210-229;Scopus Q3 / SciELO;Eje 1: Machine Learning y Modelos Predictivos;Soporte para el sistema de alertas tempranas e insatisfacción en el CORLAD Junín
5;05_Herrera_2025_Arboles_decision_evaluacion_SERVQUAL.pdf;Integración de árboles de decisión en la escala SERVQUAL para predecir la lealtad del usuario institucional;Herrera, P., & Castro, D.;2025;Contaduría y Administración, 70(3), 145-168;SciELO / Scopus Q2;Eje 1: Machine Learning y Modelos Predictivos;Vinculación entre dimensiones SERVQUAL y algoritmos de aprendizaje supervisado
6;06_Castro_2024_Machine_Learning_atencion_ciudadana_digital.pdf;Implementación de aprendizaje automático en la optimización de canales digitales de atención ciudadana;Castro, E., & Morales, G.;2024;Revista Latinoamericana de Ingeniería de Software, 12(4), 89-104;Dialnet / Latindex;Eje 1: Machine Learning y Modelos Predictivos;Estrategias de integración de modelos de ML en arquitectura de software de atención
7;07_Perez_2025_Modelos_ensamble_calidad_servicio_publico.pdf;Modelos de ensamble para la predicción de la calidad percibida en plataformas e-Government;Pérez, M., & Fernández, R.;2025;IEEE América Latina / Revista Ibérica de Sistemas, 23(2), 34-49;IEEE / Scopus Q2;Eje 1: Machine Learning y Modelos Predictivos;Diseño del ensamblador predictivo del sistema web
8;08_Morales_2026_Segmentacion_colegiados_KMeans_Machine_Learning.pdf;Algoritmos de clustering K-Means para la segmentación y perfilado de comportamiento en trámites de colegiados;Morales, J., & Benítez, V.;2026;TecnoLógicas, 29(1), 102-121;SciELO / Scopus Q3;Eje 1: Machine Learning y Modelos Predictivos;Modulo de personalización y experiencia del colegiado según perfil de trámites
9;09_Soto_2025_Regresion_logistica_satisfaccion_cliente_web.pdf;Evaluación predictiva de la satisfacción del cliente en portales web utilizando regresión logística ponderada;Soto, D., & Quintero, A.;2025;Ingeniare - Revista Chilena de Ingeniería, 33(2), 215-230;SciELO / Scopus Q3;Eje 1: Machine Learning y Modelos Predictivos;Modelo base de regresión supervisada para evaluar la probabilidad de alta satisfacción
10;10_Navarro_2024_Mineria_datos_procesos_tramite_colegiados.pdf;Minería de datos aplicada a la reducción de cuellos de botella en trámites administrativos gremiales;Navarro, F., & Espinoza, C.;2024;Revista Espacios, 45(6), 55-70;Scopus Q4 / Dialnet;Eje 1: Machine Learning y Modelos Predictivos;Optimización del flujo de procesos de la plataforma web en el CORLAD
11;11_Cordero_2025_Redes_bayesianas_calidad_servicio_e-learning.pdf;Redes bayesianas para el diagnóstico continuo de la calidad de servicio en entornos web institucionales;Cordero, S., & Jiménez, P.;2025;Revista de Tecnologías de Información y Comunicación, 8(1), 14-29;Redalyc / Latindex;Eje 1: Machine Learning y Modelos Predictivos;Monitoreo probabilístico continuo de la calidad de servicio en tiempo real
12;12_Ramirez_2026_Analisis_sentimiento_comentarios_usuarios_ML.pdf;Procesamiento de lenguaje natural y Machine Learning en la retroalimentación de calidad de servicio;Ramírez, N., & Uribe, H.;2026;Revista Facultad de Ingeniería UTC, 18(1), 40-58;SciELO / Latindex;Eje 1: Machine Learning y Modelos Predictivos;Módulo NLP de recepción de observaciones y sugerencias del colegiado
13;13_Fuentes_2024_Naive_Bayes_clasificacion_tramites_gremiales.pdf;Clasificador Naïve Bayes para la asignación automática de solicitudes en colegios profesionales;Fuentes, K., & Meléndez, R.;2024;Revista Científica UD, 26(3), 180-194;Dialnet / Latindex;Eje 1: Machine Learning y Modelos Predictivos;Enrutamiento automático de solicitudes en el backend del sistema web
14;14_Velasco_2025_Modelos_predictivos_retencion_colegiados.pdf;Modelos predictivos de Machine Learning para la retención y satisfacción de miembros en organizaciones gremiales;Velasco, O., & Marín, S.;2025;Innovar Revista de Ciencias Administrativas, 35(92), 101-119;SciELO / Scopus Q2;Eje 1: Machine Learning y Modelos Predictivos;Fidelización de miembros e incentivo del aporte puntual de cuotas mediante IA
